唯一标识,所在区域,景点名称,评论数量,评分,是否为广告内容,是否被推荐,城市名称,图片,与市中心的距离,标签,详情页链接,市场票价,优惠价格,优惠描述,实际票价,价格类型,价格类型描述,是否免费,经度,纬度,热度评分,省份
154208864,上海 · babychair 2026《BACK IN TIME》亚洲巡演,上海火车南站地区,0.0,0.0,False,False,上海,https://dimg04.c-ctrip.com/images/0100l12000s1tzwhf87F0.png,距市中心7.7km,livehouse,https://you.ctrip.com/sight/shanghai2/154208864.html?scene=online,,,,免费,5.0,,False,31.16759,121.471947,3.8,上海
145518160,双子山,新国际博览中心/世博园,57.0,4.6,False,False,上海,https://dimg04.c-ctrip.com/images/0101i12000fgtxflsFFCF.jpg,距市中心5.9km,赏花胜地|公园&植物园,https://you.ctrip.com/sight/shanghai2/145518160.html?scene=online,,,,免费,4.0,免费,True,31.183784,121.487317,3.7,上海
94495,老上海1930风情街,人民广场地区,295.0,4.2,False,False,上海,https://dimg04.c-ctrip.com/images/100f0d0000006rjvgD982.jpg,距市中心198m,城市漫步|夜游观景,https://you.ctrip.com/sight/shanghai2/132462.html?scene=online,,,,免费,4.0,免费,True,31.23735,121.481951,3.7,上海
80555,上海城市规划展示馆,人民广场地区,964.0,0.0,False,False,上海,https://dimg04.c-ctrip.com/images/0102012000artijtyE1CB.jpg,距市中心199m,博物馆&展馆,https://you.ctrip.com/sight/shanghai2/19663.html?scene=online,,,,免费,4.0,免费,True,31.237348,121.48196,3.7,上海
154218404,上海 · 小霞2026《我和我们的故事》音乐会,前滩,0.0,0.0,False,False,上海,https://dimg04.c-ctrip.com/images/0102w12000cf2qcey9434.png,距市中心8.9km,演唱会,https://you.ctrip.com/sight/shanghai2/154218404.html?scene=online,,,,免费,5.0,,False,31.156571,121.49152,3.6,上海
153442308,《黄金帝国》秘鲁马丘比丘珍品展,人民广场地区,0.0,0.0,False,False,上海,https://dimg04.c-ctrip.com/images/0107012000rxi53yr6E8C.jpg,距市中心296m,展览,https://you.ctrip.com/sight/shanghai2/153442308.html?scene=online,,,,免费,5.0,,False,31.23419,121.482126,3.7,上海
154206030,上海 · Laufey 林冰: A Matter of Time Tour 上海站,新国际博览中心/世博园,0.0,0.0,False,False,上海,https://dimg04.c-ctrip.com/images/0105k12000s0rz3x3E989.jpg,距市中心5.0km,演唱会,https://you.ctrip.com/sight/shanghai2/154206030.html?scene=online,480.0,,,免费,3.0,门市价,False,31.19446,121.499982,3.7,上海
18150080,枫叶岛,乐高乐园度假区,62.0,4.5,False,False,上海,https://dimg04.c-ctrip.com/images/10090e00000077u2l56E8.jpg,距市中心58.1km,自然山水|夜游观景,https://you.ctrip.com/sight/shanghai2/1510071.html?scene=online,,,,免费,4.0,免费,True,30.781668,121.181327,3.7,上海
28536894,雷鸣山漂流,迪士尼度假区,148.0,4.6,False,False,上海,https://dimg04.c-ctrip.com/images/100m0z000000ntdz43232.jpg,距市中心20.6km,,https://you.ctrip.com/sight/shanghai2/1942203.html?scene=online,,,,免费,5.0,,False,31.149148,121.670238,3.7,上海
28409259,明日世界,迪士尼度假区,309.0,4.8,False,False,上海,https://dimg04.c-ctrip.com/images/100n0z000000nj3az912F.jpg,距市中心20.1km,夜游观景,https://you.ctrip.com/sight/shanghai2/1937033.html?scene=online,,,,免费,5.0,,False,31.147519,121.663445,3.7,上海
134779898,季高兔窝窝PANCOAT乐园,佘山/松江大学城,170.0,4.4,False,False,上海,https://dimg04.c-ctrip.com/images/0100212000rjy6lrt6119.jpg,距市中心28.8km,儿童乐园|主题乐园&游乐场,https://you.ctrip.com/sight/shanghai2/134779898.html?scene=online,84.0,0.0,已减,49.0,2.0,门票,False,31.10876,121.217241,3.7,上海
154179563,上海 · 【黑塞哲学宇宙系列】音乐剧《纳尔齐斯与歌尔德蒙》,人民广场地区,0.0,0.0,False,False,上海,https://dimg04.c-ctrip.com/images/0106012000rttwt20B1AF.jpg,距市中心860m,话剧,https://you.ctrip.com/sight/shanghai2/154179563.html?scene=online,,,,免费,5.0,,False,31.243635,121.483088,3.6,上海
10534111,上海文化广场,衡山路地区,260.0,4.6,False,False,上海,https://dimg04.c-ctrip.com/images/0105c120008xhsmnmEFDE.jpg,距市中心2.3km,,https://you.ctrip.com/sight/shanghai2/111501.html?scene=online,,,,免费,5.0,,False,31.218189,121.468673,3.7,上海
52118856,峡谷漂流,佘山/松江大学城,13.0,4.6,False,False,上海,https://dimg04.c-ctrip.com/images/100s14000000w7m770EE5.jpg,距市中心28.7km,,https://you.ctrip.com/sight/shanghai2/4657323.html?scene=online,,,,免费,5.0,,False,31.103989,121.221293,3.6,上海
91488,徐家汇公园,徐家汇地区,852.0,4.7,False,False,上海,https://dimg04.c-ctrip.com/images/01007120008ivv1291C33.jpg,距市中心4.7km,赏花胜地|夜游观景,https://you.ctrip.com/sight/shanghai2/109946.html?scene=online,,,,免费,4.0,免费,True,31.203746,121.448859,3.7,上海
